asin,title,category_primary,all_categories,price,recovered_image_url,canonical_source_url,url_count,has_clean_url,has_trashed_dupe
B07J2Z5DBM,"TOZO T10 (Classic Edition) Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",earbuds,audio;earbuds,24.99,https://m.media-amazon.com/images/I/41YqtZd7kCL.jpg,https://techwhizmart.com/product/tozo-t10-bluetooth-5-3-wireless-earbuds-with-wireless-charging-case-ipx8-waterproof-stereo-headphones-in-ear-built-in-mic-headset-premium-sound-with-deep-bass-for-sport-black__trashed/,1,False,True
B0DN9ZSBXK,"Translation Earbuds Real Time, AI Translator Earbuds Support 144 Languages, Language Translator Earbuds for Android iOS, Translating Earbuds Real Time for Travel Business",earbuds,audio;earbuds,39.99,https://m.media-amazon.com/images/I/41UQ9ulPP3L.jpg,https://techwhizmart.com/product/translation-earbuds-real-time-ai-translator-earbuds-support-144-languages-language-translator-earbuds-for-android-ios-translating-earbuds-real-time-for-travel-business/,1,True,False
B0BG4YYZFK,"Wireless Earbuds, Bluetooth 5.0 Earbuds, Earphones Wireless Bluetooth with Charging case, Ear Bud & in-Ear Headphones…",earbuds,audio;earbuds,13.98,https://m.media-amazon.com/images/I/21YjUH3XnsL.jpg,https://techwhizmart.com/product/wireless-earbuds-bluetooth-5-0-earbuds-earphones-wireless-bluetooth-with-charging-case-ear-bud-in-ear-headphones-ipx6-waterproof-wireless-ear-buds-with-mic-auto-pairing-for-iphone-samsung__trashed/,1,False,True
B0B1D619GR,"Wireless Earbuds, Bluetooth 5.3 Earbuds with 43H Playtime, IPX6 Waterproof Stereo Sound True Wireless Earbuds with…",earbuds,audio;earbuds,25.99,https://m.media-amazon.com/images/I/21dZNkCS6qL.jpg,https://techwhizmart.com/product/wireless-earbuds-bluetooth-5-3-earbuds-with-43h-playtime-ipx6-waterproof-stereo-sound-true-wireless-earbuds-with-microphone-bluetooth-headphones-for-sport-and-working__trashed/,1,False,True
B0D635YLCT,"kurdene Wireless Earbuds Bluetooth 5.3 in Ear Buds Light-Weight Headphones,Deep Bass Sound,Built-in Mics Headset,Clear Calls Earphones for Sports Workout",earbuds,audio;earbuds,9.99,https://m.media-amazon.com/images/I/41-8uGNOh0L.jpg,https://techwhizmart.com/product/kurdene-wireless-earbuds-bluetooth-5-3-in-ear-buds-light-weight-headphonesdeep-bass-soundbuilt-in-mics-headsetclear-calls-earphones-for-sports-workout/,1,True,False
B08LV25L5J,"Cell Phone Stand Adjustable Height Phone Holder for Desk Pad Stand,Support All Phones and Screens from 2-15.6 inch,(iPhone, Android,iPad,Kindle) Support Stretching and Chassis Counterweight",electronics,cellphones;electronics,19.99,https://m.media-amazon.com/images/I/41j77HciuOL.jpg,https://techwhizmart.com/product/cell-phone-stand-adjustable-height-phone-holder-for-desk-pad-standsupport-all-phones-and-screens-from-2-15-6-inchiphone-androidipadkindle-support-stretching-and-chassis-counterweight/,1,True,False
B0CK11HNS7,Do Not Open,electronics,electronics,6.99,,https://techwhizmart.com/product/do-not-open/,1,True,False
B09SYSMCX6,"Google Pixel 6 5G, US Version, 256GB, Stormy Black - Unlocked (Renewed)",electronics,cellphones;electronics,249.98,https://m.media-amazon.com/images/I/41pOyYd1OsL.jpg,https://techwhizmart.com/product/google-pixel-6-%ef%bf%bd-5g-android-phone-unlocked-smartphone-with-wide-and-ultrawide-lens-256gb-stormy-black-renewed__trashed/,1,False,True
B0B3PSRHHN,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,electronics,cellphones;electronics,329.99,https://m.media-amazon.com/images/I/31uxBpNzx9L.jpg,https://techwhizmart.com/product/google-pixel-6a-5g-android-phone-unlocked-smartphone-with-12-megapixel-camera-and-24-hour-battery-charcoal__trashed/,1,False,True
B0BCQVRH38,Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Snow,electronics,cellphones;electronics,449.99,https://m.media-amazon.com/images/I/41pqHO30kvL.jpg,https://techwhizmart.com/product/google-pixel-7-5g-android-phone-unlocked-smartphone-with-wide-angle-lens-and-24-hour-battery-128gb-snow__trashed/,1,False,True
